"initials","group","text","timestamp","extracted_locations","extracted_species","extracted_gear","extracted_activity","extracted_time","extracted_mention","reviewer"
"Q",1," Great, thank you so much. And now we are recording officially. And I would just like to start with how do you like to introduce yourself?","[00:00]","","","","","","",""
"A",2," So I'm Holly Masterson from Southwest Harbor and I'm from there. So I grew up right in Southwest. I was born in Ellsworth. I grew up right on the shore in Southwest Harbor. Literally my bedroom looks over the harbor. So I would wake up as a small child to clammers, and to the worm diggers, and everyone just – I mean that was my morning. The sun shining through my window and then these guys down on the flats. And you can't actually harvest anything in the harbor anymore. So it seems like eons ago at this point. But, yeah. And about to be 44 so that was a while ago and yeah, that's where I grew up. So that's sort of the basis for who I am. And what I've been doing is that I grew up right there on the harbor and did a few things in between, but found myself working on the boat when I was 14. Yeah.","[00:06]","Southwest Harbor, harbor","","","","44, 14","44, 14",""
"Q",3," Wow.","[00:58]","","","","","","",""
"A",4," Yeah. And my parents had a fish market. So when I was in seventh grade, sixth grade they started that. And my stepfather had two boats, so he would go out fishing and he'd be gone for seven days at a time. He'd come into the marina in Southwest, and we'd get the fish. We'd bring them up to the fish market which was only about a half mile away. And my great Aunt Connie would show up. And she was sort of the skilled elder of the area. So she would come and teach everybody how to fillet the fish, and she's been gone for a long time. So I have pictures of that, and it was really great to have her – those memories of her in the fish market, filleting the fish, talking about the corn hake, and how they used to drive fish back in the day, and how important that was to everybody. You know, that was a huge source of protein for them. So that's sort of what started my life into the fishing world is that I was about 12 when my mom got together with my – he's been my dad. I've been fishing with him for 20 years but – so I was young. And then I would – when I got my license I would go down to the boat for him and I'd clean up the boat. He, you know, come in, unload the fish. The boat would be a disaster. I'd go down. I'd clean up what I could. I'd – they'd leave me a grocery list. And then I'd come over here to Bar Harbor, and I'd go to Hannaford, and I think it was Shop and Save at that point. , But I'd get whatever they wanted on the boat. I'd restock for them. I'd just kind of spruce it up, because they were usually only in port for like a day or two and then they turn around and go back right back out and do that. So that was their opportunity to go play golf, and take a real shower, and relax and do a little laundry and just sort of reconnect. And then that – I was sort of that piece of helping put the boat back out to sea. So I started that when I was 15 – 14, 15 of doing that.","[00:59]","Bar Harbor","","","fish, fishing","12, 20, 15, 14","two, seven, 12, 20, 15, 14",""
"Q",5," Wow. And we've sort of talked about where you grew up, but where are your parents from? You mentioned the fish market. But (inaudible; overlapping dialogue).","[02:52]","","","","fish","","",""
"A",6," Yeah, so my mom is from here. She's worked in boat yards her whole life. And then when we had the fish market she obviously did that for many years. My father is actually from Salem, Massachusetts, my biological father. And I have a great, great, great grandfather that is on the wall in Gloucester for being lost at sea. So really kind of strong heritage for me because I've now been fishing out of Gloucester. I've been to that port. I've gone through that breakwater. I've been on those same banks that he was fishing on. So that was a huge moment for me many years ago when I did that because, not only was I the only woman out there – I mean I'm out there. You're literally – you're looking back. You can see Boston in the distance. You can – you know where Gloucester is because there's the lighthouse, and you know where that is. But you're looking around. And you literally see – there's whales breaching right next to us. There are maybe 35, 40 boats and I knew I was the only woman out there. So I had this like really weird just realization of life of, like what the hell am I doing out here. Like is this really like what I should be doing? But it almost came easy to me, and I feel like that's – I'm not trying to like be egotistical about that, but it's like, I think women being on the boat in that sort of situation, like – it's not even that we have something to prove, it's just I had built up such an endurance to be on the boat, and like there was – I didn't – I wasn't into drugs. I wasn't into like this partying lifestyle. I was just really focused on being there and making money. And it was just such a spiritual experience for me to be doing that and being able to be like here in an interview right now, knowing that I sort of helped pave the way, , because I know there are now more women out there, and I'm friends with them on Facebook. I see their post and their Instagram like stories and stuff, and I'm just like, good for you. Like there you go. Like there are women that have been out there and that's something that's been – like knowing that my dad was from the area and that I had that connection was huge. But Dave, who is my captain and my stepfather, is actually from Atlantic City. So he came up here when he was 11 to fish, and then my mom and him got together when I was, yeah, in junior high. So I kind of have the three part trifecta of all of them, which was pretty important. My mom the boat builder. You know, Dave, the guy from Atlantic City that was very business oriented and was very inspired by the fishing community in Atlantic City, so when he came here that's immediately what he started doing when he was 11 and 12. And then my dad's connection to the area of Gloucester, which is so incredible and in very spiritual to be part of that. Yeah","[03:00]","Massachusetts","whale","","fish, fishing, weir","may, 35, 40, 11, 12","35, 40, 11, three, 12",""
"Q",7," Yeah. And what year were you born in?","[05:45]","","","","","","",""
"A",8," So 1980.","[05:47]","","","","","1980","",""
"Q",9," 1980. Great. And do you have any siblings?","[05:49]","","","","","1980","",""
"A",10," I do not. Yeah. I'm an only child, so sort of got to be an only child until my mom and Dave got together. And then he had older daughter, so she was a senior when I was a freshman that was fun. (laughter) Got to have sort of a little bit of a sibling for a short period of time in my life. But yeah. I'm an only child.","[05:51]","","","","","","",""
"Q",11," Great and you talked a little bit about your heritage and their relationship with fishing, but do you have anyone else in your family, the extended family who fish?","[06:10]","","","","fishing, fish","","",""
"A",12," Yeah, so my boyfriend actually – we've been together for nine years – and he's a clam harvester which is really cool. So – and he's one of the most passionate clammers you'll ever meet. So – and he actually just did a show with David Moscow called Taste – or From Scratch, and it's on Tastemade. And that just aired in December. And he is just such a huge – like he's so passionate about conservation and clamming, and the fact that there's like virtually no impact to clamming. And that clam – we always laughed over the years that like nobody cares about clams. Like clams are there but they're not being – you don't have to bait them. You don't have to – I mean other than crossing people's property to get to them, there's very – like nobody – they're not as like sanctioned as a lobster or these other things that clearly are much more political and have a lot more kind of issues with them. , So, yeah, he's a clammer, but, yeah, everyone in my family immediately – my daughter's father is a lobster man. He actually goes to Alaska and works on a huge black cod boat out there. So I'm – I mean I've got people all around me. All my friends, I mean growing up. But now you know it's weird because there's a less of a stern person community, and it's really hard for fishermen to find sternmen. And so like back in the you know 12, 15, 20 years ago everyone wanted to be on the lobster boat. That was the thing. Like if you could get on a boat, great. If you get on a good boat, like you're something. You know? Like you're cool. And now it's – the fishermen are really struggling to keep good crew, and I totally get that. It's a hard job. It's not paying as well as it used to. You're the grunt worker. You know? It's like, shit rolls downhill is absolutely a thing. And, you know, when you're on the boat there are some captains that really try to like be normal and be civil on the boat, but there's – it's just hard. It's – I mean, I got beat up on the boat like mentally, because I'm – you know, I'm – if I'm a little bit sluggish or if I'm not keeping up. It wasn't so much that as it was like in my head I was telling myself I'm not good enough. And so I went through years of, you know, you're on a boat with one maybe, two other people, and you're in your head a lot. So there's a lot of like mental kind of conditioning that happens, and that's where, I think, a lot of the endurance comes in. And so the worst part for me actually working on the boat was when another woman came and worked on our boat with us. And that was really a hard situation, because you're kind of both struggling at that point mentally to be out there. And as great as like the sun rises are, and the wildlife, and seeing everybody. It's – it's a – you get into this kind of – it's a competitive, but also you want to be supportive. So it's really hard. It's interesting. And I have a lot of friends that have done it and then they don't do it anymore. So I think your question was (laughter) if there's anyone else in my immediate family or around, and definitely. Yeah.","[06:18]","","lobster","lobster boat","clamming, lobster, weir","december, 12, 15, 20, may","nine, one, 12, 15, 20, two",""
"F",13," I was going to ask we have also a question of like see we've addressed a lot of different roles of members of your family. Seems like almost everyone you're (inaudible; overlapping dialogue).","[09:35]","","","","","","",""
"A",14," A lot. (inaudible; overlapping dialogue) Yeah, a lot.","[09:47]","","","","","","",""
"F",15," (inaudible; overlapping dialogue) story. And we also were – have a followup question about, do you have any family history of other folks working, you know not directly as harvesters, but in other kind of roles in the fishing sector like bookkeeping, bait, gear.","[09:48]","","","","fishing","","",""
"A",16,",  Yeah.","[09:59]","","","","","","",""
"F",17," And you – I was just curious about great aunt Connie –","[10:00]","","","","","","",""
"A",18," Yeah.","[10:02]","","","","","","",""
"F",19," – and just kind of which side of the family was she on?","[10:03]","","","","","","",""
"A",20," So she's amazing. Yeah.","[10:05]","","","","","","",""
"F",21," And sort of how did you learn this skill? Like from her own parents, or did she work in a fish factory?","[10:06]","","","","fish","","",""
"A",22," Yeah. So my grandmother, my nana, worked at Addison Packing Company. And I don't know if it was Stinson's when she was there. She was there in the late – she was there in the ‘60s and the '70s. And so they all worked in the fish factories. And that's one thing that we've been, really – I've been trying to find out more information about. Because it sounds like in the late ‘70s, when that fish factory at man – at Dysart's down there. When that actually closed their doors it just closed. And those people – like, you know. They use to have a bell. I don't know if you've heard these stories, but there was the bell in town in Southwest Harbor, and it would ring a certain number of chimes depending on if it was packers, or if it was the unloaders, or depending on what your role was at the fish factory. So that bell would go off and that would call to the docks who needed to be there. So my grandmother was part of that. Aunt Connie was part of that. And I believe her husband Kelsey was, and I wish I knew more of anyone there. But those were always the people that stuck out to me in my childhood as being like the fish people. And they were the women, which is my aunt Connie and my grandmother. Those were the ones living – that worked that. And Connie was just well known in our community back then as just being this like fish filleter. (laughter) You know? And she was good at it. And very particular. Very particular. Every bone was – they had this like handling machine that was just like a light, and they would put the fillets on it, and she would make sure the worms, the bones – anything she could get out was like – it was a perfect fillet when she was done with it. And now you just don't have that skill. People don't do that anymore. You go the grocery store. You go somewhere else. You don't get fresh fish like that off the boat anymore. But to them that was how they grew up. And then they'd skin it just right so they could fillet it, and then have it in the drying racks, and that was a huge thing. , I mean, I remember walking into my grandmother's apartment, because she lived – as I got – when I was young, she lived over in Southwest Harbor in this little apartment. And you walk in, and you could tell whenever the fish was there. It just smelled. It made me want to gag. I was like that is the grossest thing I've ever smelled. But they loved it. And then when we had the fish market that was a huge product. Like people would call from all over to get that. And we'd have these drying racks, and it was just – didn't seem that appetizing, but it was really popular. So yeah, Connie was – Connie was great. And then my grandmother too. But by the time I got old enough, the canary obviously was closed and she was retired at that point.","[10:10]","Southwest Harbor","worms","","fish","60s, '70s, 70s","one",""
"Q",23," Can you tell me a little more about the fish market?","[12:56]","","","","fish","","",""
"A",24," Yeah. So it was in Manset and it was called Fan Dave's. And it was converted old sea captains house, actually Captain Clark. And the house is still there but it's in desperate need of repairs now. Small little fish market, we had everything that the boats caught. We had had haddock. Pollock. All the souls. Flounders. Halibut when we could get it. We'd actually purchase salmon from one of the farms over off Indian Point. We had crab meat, we had clams, muscles. We had everything that we could get. Lobsters. And actually having the fish market is what got Dave back to getting his lobster license, because that – in 1996 is when the fisheries licensing changed. So it was pretty much wide open until '96, and then '96 is when they started implementing trap reduction and licensing, and that's when all those rules kind of came into play. So that's when he went back and got his lobster license. He had had it when he was a kid but he had turned into a dragger, so he was shrimping, scalloping, whiting fishing, herring fishing. Folks who just scalloping obviously. And then got back into lobstering when we had the market, which is huge, because now, I mean, that's what – when I went – started fishing with him is when he was just couldn't keep a crew. You know? He'd have everybody would work out for a few months, and then they'd make enough money. They'd get distracted. They wouldn't show up. Whatever. It wasn't working out. So I helped him one fall pick up all his traps, and I was miserable. It was like I hate this. It's cold. And you know this was when – October. So this was October of, oh, geez, 2003 2004. And it was freezing. I mean, it was October. Now our Octobers are 70 degrees, which is really – this year we looked back on that as like wow, do you remember what 20 years look like, because that was when I got my job, was because his crew had slipped on the ice and fallen. We've never saw ice in October. I don't know if we ever will. , I mean, it was beautiful in October. There was no – I mean people were getting suntanned still and it was like beautiful. But that was 20 years ago, what we were faced with. And it was freezing cold. And I went fishing with him and said I'll never do that again. But then when I got up to the dock he's like well do you want know how much you made today. And I'm just like freezing. I'm in my truck trying to warm up, and he's like, you made like $275. And I was like, what? And I mean, to me I was young. I didn't have any money. I mean, to make 200-plus dollars for – really it wasn't that long of a day either. I mean it was still light out when we got in. So it wasn't that long. But I was just like, oh my gosh that's a lot of money. That's how much my car payment is. Like I could do a lot with us. So that got me hooked almost immediately. So good old money. (laughter)","[12:59]","","haddock, pollock, flounder, halibut, salmon, crab, lobster, shrimp, scallop, herring","","fish, lobster, trap, shrimping, fishing","1996, '96, fall, october, 2003, 2004, 70, 20, 275, 200","one, 96, 70, 20",""
"Q",25," Yeah and then you mentioned your boyfriend. Do you have any children?","[16:02]","","","","","","",""
"A",26," I do. I have a daughter who is 14 and a half. She's a freshman. So she's come out. I actually fished with her when I was pregnant until January. And I was about six months pregnant. And we were heading out scalloping. And, oh my gosh, this was – this is actually a funny story. So, you know, I was here. I was ready to go. Like, I knew I was pregnant. I was very pregnant. But I definitely was still really into fishing every day. I mean, you build up that adrenaline to get up every morning and just go on the boat. What else do you do if you're not doing that? I've been doing that for so long, like I didn't have any – I didn't have a life. I mean, that was what I did. So, I called Dave and was just like, ""OK. What time does the boat leaving in the morning. He's like, I don't know if we're going go. It's going to be windy. So, I'm like, OK. Well, just call me in the morning and let me know. I need like 45 minutes notice to like get there on time and everything. So, he texted me in the morning, he's like, Yeah, we're not going to go. He's like, I'll call you later this morning. So, I'm like, OK, cool. I'm going back to bed. I wake up, I go down to the dock, boat's gone. So like, what? What happened? Where's the boat? And he's like, We went fishing. He's like, Holly, you are almost six months pregnant. You are staying home. Like, I'm making the call. You're done. And it was winter. It was January. I was very pregnant and he was just like, Nope. We're making the call for you. You're not going do this until you actually give birth. Like, You're not having a baby out here and you need to take care of yourself. , So, Eden has been on the boat, yeah, since the beginning. And then I went back fishing as soon as the doctor gave me clearance. I think I was like two-and-a-half weeks after I gave birth, I went back fishing just part time. But I couldn't be kept away. I needed the money and I needed sanity. I found very quickly that, I think, as a young mother – I was a single mother too. So, her father and I were friends, but he was working on a boat in Portland at the time. So, he came back when she was a couple months old at that point. So, in those first few months of having her, I didn't know what I was doing. And I actually thanked everybody to be on that boat, because it gave me some sanity. It was only like, we'd only go out for about six hours. So, it gave me some time to process like, oh my God, I have a small human at home. And my mom was thrilled to be able to be like, ""Grammy.” Like, oh my gosh, I'll take the baby. And, you know, you go do what you need to do. And so, I did that for the first three or four years that she was in her early years. And it was really great. And she'd come out with us. Like she'd get rejected sometimes for daycare. If she had a fever or anything like that, we'd bring her shrimping. I mean, she's been right out here shrimping when she was two-and-a-half-years old, which is crazy. Because she's not a huge fan of fishing right at the moment, because she doesn't like the smell of the bait. But she loves being on the boat. And she can – I mean, I've got pictures of her holding huge lobsters like nothing. I mean, it's just – it's so natural for her to be out there. But she doesn't love it. (laughter) It's not – I don't see her doing that forever. (laughter)","[16:06]","home","scallop, shrimp, lobster","","fished, fishing, shrimping, lobster","14, january, 45, winter","14, six, 45, two, three, four",""
"Q",27," Would you want her to? Would you like her to go on fishing?","[19:12]","","","","fishing","","",""
"A",28," There's a – I want her to be connected to it. Do I want her to be out every day going through the grind, and the rules, and the regulations, and the cost and the BS that goes with it? Not so much. I think I'm definitely seeing the industry for kind of what it is. And as great as it was from my years of being there, I don't necessarily think that that's going to be a great career choice for young people. I mean, yes, definitely some people are just so driven. They get up every day like I was. You get up every day. You don't know anything different. You're going on the boat. You know where your bait is. This, that – it's so routine. I mean, the things that we do every day, we laugh about it. It's like, I just did that 700 times. I mean, there are things that are just very routine about it. And there's a , huge aspect of the mental physical ability that when you're working through like a mental problem, if you can be physically active while you're trying to figure it out. And so I think for me, as I've stepped away from the boat now, I've really looked back on that time with a lot of gratitude of, wow, I was going through some really deep things. And I do think my time on the boat actually helped me figure out some really good choices. And so that's something that is not really part of the fishing world, though. That's like the more personal side of it. And as far as the industry is concerned, though, things are changing huge. And I don't know what it's going to look like. It's always been here, though. I mean, that's one thing that we've always talked about. It's one of the most sustainable fisheries. It's been around for 100 years. And I don't necessarily think it's going away. It's just changing. Technology is going to change everything in the next 20 years. And that's something that I think that all – anyone that's interested in it, there's an avenue somewhere. She came with me last year, two years ago. We met with a couple of ropeless fishing guys, and they had their buoys. We went down the shore here a little ways and actually tested some stuff and she came with me, because I wanted her just to be aware that things are changing. But at 12, 13, that kind of went right over her head. She's – I want her to be more involved than she really wants to be. (laughter) But there's a lot of – I mean, when you're talking about the bookkeepers and all the different people that are involved, it's just the web. I mean, it spreads. And so I do think things are changing on the island as far as – it's been – like, Southwest Harbor has been a fishing community since the beginning. I mean, we had that cannery. It was one of the first canneries on the coast. But things are changing. And if those things go away, then the connections are getting lost and the skills. Like, my great aunt Connie, I mean, I don't know anyone that really fillets fish like that. Other than they're chefs, but they're not in a fish market situation or providing.","[19:14]","island, Southwest Harbor","","","fishing, fish","700, 100, 20, 12, 13","one, 20, two, 12, 13",""
"Q",29," Yeah, I think that's a good segue. Can you describe just the roles you've had in the – fishing?","[22:09]","","","","fishing","","",""
"A",30," Yeah. So started off at the fish market when I was young. And actually, prior to that, my uncle Gary just clammed for fun. So we'd always take his little whaler out to one of the islands and go find hen clams or dig up clams with him. , And then I worked at the fish market. And then stayed on helping Dave with the cleaning of the boat and getting the boat ready. And I mean, it was a disaster. (laughter) You know, it's like three or four sweaty men fishing. It's in rough shape. So I did what I could. And then after that era of my life, I – I mean, I moved away. I went to New York City. I kind of did my own thing for a few years. But what got me back was when his crew had slipped on the ice in October and he needed someone to go pick up traps with him. And I was like, I can do that, whatever. So I did that. But then I never left. And that was – that was the beginning of my last 20 years of my life of being on the boat. But I've done a lot of things in the last 20 years. As far as fishing, I mean, I go down to Portland and I pick up bait. I do bait runs. I try to attend as many meetings as I could. I've got my lobster license, which took forever to – I was on the list for 13 years. So I was extremely vocal in that era of my life trying to talk to Augusta, and meeting the commissioner and meeting representatives. I mean, why are you keeping us out? Because I honestly think that if I had got my license back when I first wanted it, I would have my own boat and I would be out there on my own. But it just took too long. So I ended up getting my real estate license. I now have this mini golf business. I've now like – you've made me choose other paths because I couldn't be my own boss. And that's what I really wanted to be. And, oh, geez, what else have I done? I've helped a lot of girls. Like young girls get their apprentice, taking them out on the boat with us, sign papers. Just trying to inspire them, however, just to try it. You might not love it. I've taken girls out. We get out three or four miles, and they're like, so when do we go back? (laughter) And I'm like, we haven't even got started yet. So there's – I like to show them that. And there's other women that I know on the island that have done that too, which is really great. So Lindsay McDaniels, I don't know if she's on your list or not, but she's incredible. And she has her own boat. And she also takes out the young teenage girls to show them. They all want to try it. OK, come try it. (laughter) And I guess that's it. I mean, I've done a lot of publications and stuff, like the Pretty Rugged book. I don't if you've seen that. But that is something that Ali Farrell out of Rockland produced. And there's, I believe, 26 women in that book, which is really great. And that was a fun project to be part of. , And the Southwest Harbor Public Library and the Southwest Harbor Historical Society has reached out. And we've tried to do as many kind of partnerships – just trying to leave the legacy of what I've contributed and just trying to get people to know that it does exist for young girls.","[22:14]","islands, island, Southwest Harbor","whale, lobster","","fish, dig, fishing, trap, lobster","october, 20, 13, august, 26","one, three, four, 20, 13, 26",""
"Q",31," Yeah, you've mentioned shrimping and scalloping. What is your interaction with those guys?","[25:33]","","shrimp, scallop","","shrimping","","",""
